"","beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
"4058",6e-06,4e-05,5e-04,0.000208821548821549,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,34.563199900312,4.56502201307376,3.41004785053002e-97,0.0851530936225904,0.023101994659185,0.448773483198821,7.03237786768837,3.01049264530289e-100
"4059",6e-06,4e-05,6e-04,0.000245521885521885,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,43.7412958953068,5.12861468425748,3.41004785053002e-97,0.0851530936225904,0.046021115293764,0.464774265383843,6.30816294282836,6.21097979060085e-100
"4060",6e-06,4e-05,7e-04,0.000282222222222222,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,53.2697968428929,5.66937794537538,3.41004785053002e-97,0.0851530936225904,0.0283070803279995,0.309195802014436,7.2017283977313,2.54149681539189e-100
"5041",6.5e-06,3e-05,7e-05,4.46801346801347e-05,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,1.46997060759976,0.641071700666119,3.06878247432418e-13,1.47052069349377,1.54639119304227e-07,7.87715316172795e-07,29.3506842321212,5.49700210365857e-26
"5042",6.5e-06,3e-05,8e-05,4.83501683501684e-05,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,1.74155072610301,0.685598980730446,3.06878247432418e-13,1.47052069349377,1.81082539590369e-07,1.04017114980721e-06,28.9148216296851,8.49999413934071e-26
"5043",6.5e-06,3e-05,9e-05,5.2020202020202e-05,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,2.0268530237491,0.731549918876113,3.06878247432418e-13,1.47052069349377,2.13517110539349e-07,1.38155006768406e-06,28.4662367648167,1.33117930638559e-25
"5044",6.5e-06,3e-05,1e-04,5.56902356902357e-05,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,2.32594966920761,0.778858532587481,3.06878247432418e-13,1.47052069349377,2.53475996142306e-07,1.84439870919489e-06,28.0057373933045,2.10973978954628e-25
"5045",6.5e-06,3e-05,2e-04,9.23905723905724e-05,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,6.08852298308559,1.31044539880657,3.06878247432418e-13,1.47052069349377,1.97900115445449e-06,3.77726726046402e-05,22.9312264204167,3.37334692486407e-23
"5046",6.5e-06,3e-05,3e-04,0.000129090909090909,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,11.2307010229322,1.89803264472121,3.06878247432418e-13,1.47052069349377,2.41080580144922e-05,0.000654110568905692,17.5795820197639,7.11624087465735e-21
"5047",6.5e-06,3e-05,4e-04,0.000165791245791246,1.2921862329647,4.67440856554209,6.13792238474994,0.361770522525422,17.5956881981839,2.48828663496008,3.06878247432418e-13,1.47052069349377,0.000324825502328584,0.00686571499495043,12.6278209788325,1.00640581091287e-18
